id_client,nom_famille,sexe,email,Année,tranche_revenus,enfants,Somme de enfant_conduite_accompagne,adresse,lat,lon,date_demande,etat_dossier,formule,tranche_devis,type_vehicule,age_vehicule,est_rouge,usage_vehicule,type_conduite,Somme de points_perdus
953200841,Adam,F,martinalexandria@dbmail.com,1979,100k-120k€,false,0,88 Rue Monseigneur Loutil 8000 Charleville-Mézières,49.749011,4.730043,2022-02-17 13:28:57,complet,dev_integral,300-400€,Sports Car,6,no,Commercial,Highly Urban/ Urban,1
893178600,Adam,M,henri20@noos.fr,1997,20k-40k€,true,0,4 Rue des Chaudronniers 12800 Naucelle,44.198306,2.342174,2022-02-12 09:30:57,complet,dev_premium,400-500€,z_SUV,3,no,Private,z_Highly Rural/ Rural,0
994894155,Adam,M,ijulien@noos.fr,1968,100k-120k€,true,1,27 Rue Sully 13140 Miramas,43.584597,5.005438,2022-05-06 14:07:50,complet,dev_express,200-300€,Minivan,12,no,Commercial,Highly Urban/ Urban,0
233104477,Albert,F,christine15@club-internet.fr,1967,80k-100k€,false,0,22 Rue des Fontaines 41290 Boisseau,47.772576,1.295163,2022-01-18 01:43:26,complet,dev_premium,300-400€,z_SUV,14,no,Private,Highly Urban/ Urban,0
426052953,Albert,M,leducjulien@live.com,1932,40k-60k€,true,1,5 Rue de la République 10100 Pars-lès-Romilly,48.496572,3.73212,2022-03-30 17:09:10,complet,dev_express,200-300€,Pickup,7,no,Commercial,Highly Urban/ Urban,1
1860885,Albert-Lecoq,F,kmaillot@tele2.fr,1951,,false,0,4 Rue Jules Ferry 69190 Saint-Fons,45.705192,4.860651,2022-03-10 21:24:19,complet,dev_integral,300-400€,Pickup,,no,Private,Highly Urban/ Urban,0
895787911,Alexandre,F,sebastienmary@free.fr,1957,> 120k€,false,0,9 Rue Jean Hoff 67380 Lingolsheim,48.564809,7.689456,2022-01-13 13:58:07,complet,dev_integral,300-400€,Panel Truck,13,no,Commercial,Highly Urban/ Urban,3
496476303,Alexandre,M,boyergregoire@voila.fr,1939,,true,1,8 Rue du Clos 78700 Conflans-Sainte-Honorine,49.001409,2.101363,2022-03-03 06:41:02,complet,dev_integral,300-400€,Pickup,9,yes,Private,z_Highly Rural/ Rural,0
141092115,Alexandre,M,jourdanfrederic@tiscali.fr,1951,> 120k€,false,0,5 Rue de l'École 57230 Philippsbourg,48.980666,7.571557,2022-01-04 23:37:25,complet,dev_integral,200-300€,z_SUV,12,no,Private,Highly Urban/ Urban,3
49408042,Allain,F,roger74@orange.fr,1955,> 120k€,false,0,43 Rue de Miromesnil 75008 Paris,48.874079,2.315816,2022-01-26 05:48:18,complet,dev_express,200-300€,Van,1,no,Private,Highly Urban/ Urban,0
117704348,Allain,F,zlebrun@tele2.fr,2015,20k-40k€,false,0,16 Rue Alphand 5100 Briançon,44.895575,6.634585,2022-01-23 02:06:16,complet,dev_integral,200-300€,Pickup,11,yes,Private,Highly Urban/ Urban,3
